Date : 2023-02-13 11:23:22
Directory : d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src
Total : 239 files,  101142 codes, 10778 comments, 9727 blanks, all 121647 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| pages\index                                                                                                                              |         86 |     33,018 |      2,413 |      1,301 |     36,732 |
| pages\index (Files)                                                                                                                      |          3 |        292 |         22 |         17 |        331 |
| pages\index\components                                                                                                                   |          3 |        644 |         33 |         24 |        701 |
| pages\index\router                                                                                                                       |          1 |        470 |         44 |         10 |        524 |
| pages\index\store                                                                                                                        |          4 |         25 |          5 |          4 |         34 |
| pages\index\templates                                                                                                                    |         75 |     31,587 |      2,309 |      1,246 |     35,142 |
| pages\index\templates\areaManage                                                                                                         |          2 |        343 |          0 |          5 |        348 |
| pages\index\templates\capabilitiesAndApplications                                                                                        |          2 |        544 |         15 |         24 |        583 |
| pages\index\templates\cube                                                                                                               |          2 |      2,181 |        527 |        153 |      2,861 |
| pages\index\templates\customHomePage                                                                                                     |          2 |        484 |         16 |         46 |        546 |
| pages\index\templates\customHomePage (Files)                                                                                             |          1 |        379 |         16 |         38 |        433 |
| pages\index\templates\customHomePage\temps                                                                                               |          1 |        105 |          0 |          8 |        113 |
| pages\index\templates\dataPowerApiManager                                                                                                |          1 |        801 |         13 |          8 |        822 |
| pages\index\templates\dataPowerApiMonitor                                                                                                |          1 |        697 |          6 |         54 |        757 |
| pages\index\templates\dataPowerItemManager                                                                                               |          2 |      1,734 |         73 |        123 |      1,930 |
| pages\index\templates\dataSandbox                                                                                                        |          1 |        165 |          8 |          9 |        182 |
| pages\index\templates\dataSet                                                                                                            |         10 |      5,527 |        451 |        104 |      6,082 |
| pages\index\templates\dataSet (Files)                                                                                                    |          5 |      1,508 |        173 |         43 |      1,724 |
| pages\index\templates\dataSet\dataModel                                                                                                  |          4 |      2,963 |        155 |         55 |      3,173 |
| pages\index\templates\dataSet\panelModules                                                                                               |          1 |      1,056 |        123 |          6 |      1,185 |
| pages\index\templates\dataSource                                                                                                         |         10 |      2,939 |        325 |         85 |      3,349 |
| pages\index\templates\dimManage                                                                                                          |          3 |      1,048 |         13 |         13 |      1,074 |
| pages\index\templates\dirManage                                                                                                          |          1 |        348 |          6 |          6 |        360 |
| pages\index\templates\downLoadManger                                                                                                     |          2 |        997 |         83 |         29 |      1,109 |
| pages\index\templates\iframe                                                                                                             |          1 |         13 |          8 |          3 |         24 |
| pages\index\templates\indicators                                                                                                         |          3 |      2,828 |        326 |         78 |      3,232 |
| pages\index\templates\menus                                                                                                              |          1 |        529 |         17 |          6 |        552 |
| pages\index\templates\orgManage                                                                                                          |          2 |        465 |          1 |          5 |        471 |
| pages\index\templates\overView                                                                                                           |          6 |      3,078 |        114 |        203 |      3,395 |
| pages\index\templates\overView (Files)                                                                                                   |          1 |        646 |         32 |         97 |        775 |
| pages\index\templates\overView\temps                                                                                                     |          5 |      2,432 |         82 |        106 |      2,620 |
| pages\index\templates\powerManage                                                                                                        |          4 |      1,156 |         39 |         22 |      1,217 |
| pages\index\templates\specialReport                                                                                                      |          1 |        482 |         30 |         68 |        580 |
| pages\index\templates\sysDemand                                                                                                          |          4 |      1,126 |         22 |         66 |      1,214 |
| pages\index\templates\sysDemand (Files)                                                                                                  |          1 |        637 |          8 |         27 |        672 |
| pages\index\templates\sysDemand\model                                                                                                    |          3 |        489 |         14 |         39 |        542 |
| pages\index\templates\sysMenuAdministration                                                                                              |          2 |        584 |          0 |          6 |        590 |
| pages\index\templates\sysNotice                                                                                                          |          3 |        709 |         11 |         50 |        770 |
| pages\index\templates\sysNotice (Files)                                                                                                  |          1 |        453 |          6 |         24 |        483 |
| pages\index\templates\sysNotice\model                                                                                                    |          2 |        256 |          5 |         26 |        287 |
| pages\index\templates\sysOperationLog                                                                                                    |          1 |        618 |         92 |         34 |        744 |
| pages\index\templates\sysRoleAdministration                                                                                              |          4 |        776 |          4 |          5 |        785 |
| pages\index\templates\sysRoleAdministration (Files)                                                                                      |          2 |        351 |          1 |          3 |        355 |
| pages\index\templates\sysRoleAdministration\component                                                                                    |          2 |        425 |          3 |          2 |        430 |
| pages\index\templates\sysUserAdministration                                                                                              |          1 |         38 |          4 |          4 |         46 |
| pages\index\templates\system                                                                                                             |          1 |         11 |          0 |          0 |         11 |
| pages\index\templates\userManage                                                                                                         |          2 |      1,366 |        105 |         37 |      1,508 |
| pages\login                                                                                                                              |          3 |        312 |         16 |         31 |        359 |
| pages\relation                                                                                                                           |         14 |      5,749 |        469 |        420 |      6,638 |
| pages\relation (Files)                                                                                                                   |          3 |      1,006 |         49 |         67 |      1,122 |
| pages\relation\components                                                                                                                |         11 |      4,743 |        420 |        353 |      5,516 |
| pages\relation\components (Files)                                                                                                        |          3 |      4,114 |        393 |        301 |      4,808 |
| pages\relation\components\OperateMenu                                                                                                    |          3 |        537 |         25 |         48 |        610 |
| pages\relation\components\icon                                                                                                           |          2 |          2 |          0 |          0 |          2 |
| pages\relation\components\mixins                                                                                                         |          3 |         90 |          2 |          4 |         96 |
| pages\report                                                                                                                             |         12 |      3,674 |        184 |         72 |      3,930 |
| pages\report (Files)                                                                                                                     |          3 |        468 |          9 |         22 |        499 |
| pages\report\common                                                                                                                      |          1 |         13 |          7 |          3 |         23 |
| pages\report\components                                                                                                                  |          7 |      3,182 |        166 |         44 |      3,392 |
| pages\report\router                                                                                                                      |          1 |         11 |          2 |          3 |         16 |
| pages\repshow                                                                                                                            |          7 |        789 |         52 |         33 |        874 |
| pages\repshow (Files)                                                                                                                    |          3 |        720 |         40 |         19 |        779 |
| pages\repshow\store                                                                                                                      |          4 |         69 |         12 |         14 |         95 |
| publicModule                                                                                                                             |         38 |     13,872 |      1,911 |        517 |     16,300 |
| publicModule (Files)                                                                                                                     |         33 |     11,951 |      1,779 |        427 |     14,157 |
| publicModule\dataModel                                                                                                                   |          1 |         80 |         14 |         19 |        113 |
| publicModule\tableClumControl                                                                                                            |          4 |      1,841 |        118 |         71 |      2,030 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\chartModel.js                                                                  | JavaScript |        492 |          0 |         16 |        508 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\common\common.js                                                               | JavaScript |      1,447 |        174 |         67 |      1,688 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\common\commonDataUtil.js                                                       | JavaScript |        321 |         49 |         14 |        384 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\event.js                                                                       | JavaScript |        330 |        174 |         26 |        530 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\language-en.js                                                                 | JavaScript |        148 |          0 |          0 |        148 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\language-zh.js                                                                 | JavaScript |        148 |          0 |          1 |        149 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\modelDefaultConfig.js                                                          | JavaScript |        148 |        101 |          7 |        256 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\sso.js                                                                         | JavaScript |        196 |         35 |          1 |        232 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\style\style.sass                                                               | SASS       |          0 |          0 |          1 |          1 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\ticket\ticketUtil.js                                                           | JavaScript |         38 |         13 |          4 |         55 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\vue-grid-layout\dist\vue-grid-layout.common.js                                 | JavaScript |     12,061 |      1,878 |      3,207 |     17,146 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\vue-grid-layout\dist\vue-grid-layout.umd.js                                    | JavaScript |     12,075 |      1,872 |      3,207 |     17,154 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\vue-grid-layout\dist\vue-grid-layout.umd.min.js                                | JavaScript |          1 |          1 |          0 |          2 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\vue-grid-layout\package.json                                                   | JSON       |         78 |          0 |          1 |         79 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\assets\vue-grid-layout\vue.config.js                                                  | JavaScript |         11 |          3 |          2 |         16 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\App.vue                                                               | Vue        |        143 |          4 |          7 |        154 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\analytics.html                                                        | HTML       |         21 |          0 |          1 |         22 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\analytics.js                                                          | JavaScript |         34 |          3 |          6 |         43 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\components\centerBox.vue                                              | Vue        |        181 |         11 |          2 |        194 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\components\chartMenuList.vue                                          | Vue        |        125 |          2 |          2 |        129 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\components\chartOuter.vue                                             | Vue        |         53 |          0 |          2 |         55 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\components\configPanel.vue                                            | Vue        |        353 |         38 |          8 |        399 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\components\leftBar.vue                                                | Vue        |        328 |         16 |          4 |        348 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\components\pageHead.vue                                               | Vue        |         63 |          1 |          3 |         67 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\components\rightBar.vue                                               | Vue        |         24 |          3 |          2 |         29 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\components\toolsBar.vue                                               | Vue        |        184 |          3 |          3 |        190 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\store\actions.js                                                      | JavaScript |         12 |          1 |          0 |         13 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\store\getters.js                                                      | JavaScript |          4 |          0 |          0 |          4 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\store\index.js                                                        | JavaScript |         32 |          1 |          5 |         38 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\analytics\store\mutations.js                                                    | JavaScript |         12 |          1 |          0 |         13 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\bi\App.vue                                                                      | Vue        |        339 |         18 |          3 |        360 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\bi\bi.html                                                                      | HTML       |         18 |          3 |          1 |         22 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\bi\bi.js                                                                        | JavaScript |         32 |          3 |          6 |         41 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\bi\components\config.vue                                                        | Vue        |      1,323 |        142 |         12 |      1,477 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\bi\components\excelTable.vue                                                    | Vue        |        172 |         17 |          3 |        192 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\bi\components\excelTools.vue                                                    | Vue        |         67 |          0 |          4 |         71 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\App.vue                                                                    | Vue        |        117 |         18 |          9 |        144 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\editor.vue                                                      | Vue        |        263 |          8 |         14 |        285 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\modelList.vue                                                   | Vue        |        522 |         64 |         25 |        611 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\dataSet.vue                                        | Vue        |      4,087 |        394 |        232 |      4,713 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\dyparam.vue                                        | Vue        |        147 |          5 |          4 |        156 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\echartStyleSet.vue                                 | Vue        |         23 |          0 |          3 |         26 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\eventSet.vue                                       | Vue        |        913 |         56 |         23 |        992 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\excel.vue                                          | Vue        |        331 |         96 |         27 |        454 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleGlobalSet.vue                                 | Vue        |         56 |          6 |          4 |         66 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSeriesSet.vue                                 | Vue        |         23 |          0 |          5 |         28 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\selectTree.vue                     | Vue        |        620 |         45 |         30 |        695 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\sqlDataEditPanle.vue               | Vue        |      1,367 |        148 |        126 |      1,641 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleDatazoomSet.vue               | Vue        |         42 |          0 |          3 |         45 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleFunnelSet.vue                 | Vue        |         88 |          0 |         10 |         98 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleGridSet.vue                   | Vue        |         48 |          0 |          3 |         51 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleLegendSet.vue                 | Vue        |         58 |          0 |          3 |         61 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleNewTableSet.vue               | Vue        |        262 |          0 |          6 |        268 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleOtherSet.vue                  | Vue        |         29 |          0 |          5 |         34 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\stylePageSet.vue                   | Vue        |         36 |          0 |          4 |         40 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\stylePictureSet.vue                | Vue        |        281 |         51 |         19 |        351 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleRadarSet.vue                  | Vue        |        146 |          0 |         16 |        162 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleRepSet.vue                    | Vue        |        261 |         15 |         25 |        301 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleSeriesBarSet.vue              | Vue        |        178 |          2 |          4 |        184 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleSeriesPieSet.vue              | Vue        |         57 |          2 |          3 |         62 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleTableSet.vue                  | Vue        |        140 |         65 |          7 |        212 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleTextSet.vue                   | Vue        |        216 |         15 |         11 |        242 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleXaxisSet.vue                  | Vue        |        108 |          0 |          3 |        111 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleYaxisSet.vue                  | Vue        |        108 |          0 |          3 |        111 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\panelModules\styleSubModules\styleZhexiantuSet.vue              | Vue        |        122 |          0 |          9 |        131 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\setTemporaryField.vue                                           | Vue        |        231 |         26 |          2 |        259 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\components\topTools.vue                                                    | Vue        |        529 |         39 |         21 |        589 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\cube.html                                                                  | HTML       |         21 |          1 |          1 |         23 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\cube.js                                                                    | JavaScript |         57 |          8 |          9 |         74 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\router\index.js                                                            | JavaScript |         11 |          2 |          3 |         16 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\store\actions.js                                                           | JavaScript |         15 |          1 |          4 |         20 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\store\getters.js                                                           | JavaScript |          5 |          0 |          0 |          5 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\store\index.js                                                             | JavaScript |         79 |         10 |          5 |         94 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\cube\store\mutations.js                                                         | JavaScript |         15 |          1 |          4 |         20 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\download\App.vue                                                                | Vue        |         53 |          0 |          1 |         54 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\download\downLoadManger\downLoadMain.vue                                        | Vue        |        346 |         36 |         16 |        398 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\download\downLoadManger\downloadList.vue                                        | Vue        |        649 |         49 |         13 |        711 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\download\download.html                                                          | HTML       |         20 |          0 |          3 |         23 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\download\download.js                                                            | JavaScript |         34 |          3 |          7 |         44 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\App.vue                                                                   | Vue        |        214 |         13 |          5 |        232 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\components\frameHeader.vue                                                | Vue        |        271 |         11 |          8 |        290 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\components\leftMenu.vue                                                   | Vue        |        201 |         22 |          7 |        230 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\components\selectTreeBt.vue                                               | Vue        |        172 |          0 |          9 |        181 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\index.html                                                                | HTML       |         20 |          0 |          3 |         23 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\index.js                                                                  | JavaScript |         58 |          9 |          9 |         76 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\router\index.js                                                           | JavaScript |        470 |         44 |         10 |        524 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\store\actions.js                                                          | JavaScript |          3 |          1 |          0 |          4 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\store\getters.js                                                          | JavaScript |          1 |          0 |          0 |          1 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\store\index.js                                                            | JavaScript |         18 |          3 |          4 |         25 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\store\mutations.js                                                        | JavaScript |          3 |          1 |          0 |          4 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\areaManage\areaManage.vue                                       | Vue        |         23 |          0 |          3 |         26 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\areaManage\sysArea.vue                                          | Vue        |        320 |          0 |          2 |        322 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\capabilitiesAndApplications\capabilitiesAndApplicationsList.vue | Vue        |        307 |         15 |          9 |        331 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\capabilitiesAndApplications\editAppInfo.vue                     | Vue        |        237 |          0 |         15 |        252 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\cube\cube.vue                                                   | Vue        |      1,340 |        451 |        104 |      1,895 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\cube\cubeOpenWindow.vue                                         | Vue        |        841 |         76 |         49 |        966 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\customHomePage\customHomePage.vue                               | Vue        |        379 |         16 |         38 |        433 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\customHomePage\temps\customEditPanle.vue                        | Vue        |        105 |          0 |          8 |        113 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataPowerApiManager\dataPowerApiManager.vue                     | Vue        |        801 |         13 |          8 |        822 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataPowerApiMonitor\dataPowerApiMonitor.vue                     | Vue        |        697 |          6 |         54 |        757 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataPowerItemManager\dataPowerItemManager.vue                   | Vue        |      1,643 |         73 |        122 |      1,838 |
| d:\work\项目\天源迪科\最新SVN项目地址\报表工具\所罗门\solomon_web\src\pages\index\templates\dataPowerItemManager\model.json                                 | JSON       |         91 |          0 |          1 |         92 |
